Attention,Engagement,Surprise,Valence
97.46718,0.07914908,0.1931203,-0.02120972
98.31501,0.07997795,0.1920198,-0.05635071
92.61978,0.079858,0.1931718,-0.04772186
73.51466,0.1082064,0.3150791,-3.026497
89.97018,1.817275,2.673856,-6.889511
95.37484,0.5373412,0.6194296,0.651513
97.06842,0.9617961,0.9290203,-0.9408951
96.44078,49.65271,0.1969693,-53.5769
98.756,48.88891,0.1933307,-32.86913
98.35718,49.31933,0.1940372,-31.98668
95.05752,0.07984731,0.194165,-0.09483337
96.45342,0.167206,0.2069677,-7.735283
96.61189,0.3195378,0.4783962,-9.241096
97.81773,0.299549,0.4470652,-0.3328781
97.63579,0.1538783,0.2038691,-2.934196
97.42195,0.4230272,0.07686514,-5.906189
97.28344,3.348595,2.049699,-0.054245
97.90813,0.3289534,0.3360829,-6.027786
93.53685,0.1262966,0.2286793,-2.02121
94.20625,19.29284,0.2073859,-43.78828
97.23859,0.08138465,0.1991719,-0.3109665
97.70658,0.1269212,0.2166256,-3.135361
98.22969,0.1474121,0.1482031,-3.513748
95.24817,0.08258955,0.1935011,-0.5294495
92.95011,0.08501176,0.1898543,-0.699646
95.31421,0.2726967,0.1963329,-5.684822
95.07522,36.78603,0.1908066,-42.2664
95.59265,50.31693,0.2013882,-88.89747
95.49023,50.02594,0.192736,-86.36922
93.89793,48.80022,0.1961747,-67.04179
93.85133,0.1122797,0.1998426,-0.3017807
92.9468,0.499425,0.6764979,-1.123581
92.14186,0.2777045,0.693948,-10.23335
91.6069,0.1800894,0.2620246,-8.833496
92.88459,0.1241872,0.2566951,-3.70285
96.78298,0.4292251,0.1571393,6.948258
97.62112,0.1702873,0.2121724,-4.444183
97.71638,0.09138798,0.1943068,-1.317116
98.13766,0.1412032,0.1775077,-5.306175
97.67798,2.254081,0.1215062,-19.49615
98.10046,97.21866,2.982216,-52.87535
98.12548,68.26244,21.98015,-4.765343
